"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"Jen01",190010,137744,136929,137404,135347,127364
"Jen02",286951,203803,202444,203190,198112,188641
"Jen03",299630,217311,215360,216513,210476,194305
"Jen18",20206,13876,13843,13821,13800,13800
"mock2",184940,108052,107759,107883,106974,94437
"NTC2",74381,48208,48144,48183,48138,48131
