"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"Jen01",190010,151475,150815,151104,43361,40288
"Jen02",286951,226925,225797,226232,203373,192573
"Jen03",299630,240054,238517,239132,149578,136451
"Jen18",20206,15874,15831,15852,4032,4030
"mock2",184940,136422,136058,136260,13,13
"NTC2",74381,54136,54052,54099,25242,25240
